gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype
cyt1l,41.35681810464473,0.6173865892870832,0.50776527880386,20.327827521541778,0.0010844950971130617,0.0325716154590567,BasalorEpi-73
krt91,273.18900737868466,0.7998423883064213,0.515078446596093,22.727888623726272,3.804869529938859e-4,0.015679601876864322,BasalorEpi-73
si:ch211-250g4.3,8.07864575246783,-17.61504691418441,264.5199445142366,18.95228968018978,0.001961865374195532,0.048927323183748296,BasalorEpi-73
nme2b.2,39.942492664372985,0.7967772599908651,0.47122900661712896,31.340491750498742,8.023252918701954e-6,0.0010936310901492202,BasalorEpi-73
porb,8.966474267694975,-2.728091406389133,1.2586374663443394,19.33250778484127,0.0016663695662813844,0.04407174435000916,BasalorEpi-73
foxo1a,19.17138842027204,-0.5817374128448146,0.6019118353182278,40.74124138111783,1.0582606237867756e-7,4.688094563375416e-5,BasalorEpi-73
zgc:162730,7.2329541525977294,-1.339289104645403,0.8981477039290106,19.381928444235186,0.001631326429889758,0.043798642935828046,BasalorEpi-73
ulk2,22.72637119276774,-1.6974453009421824,0.5804470176126487,30.58590431462804,1.1306297571931968e-5,0.0013356506198308965,BasalorEpi-73
ctrl,7.256413576674289,-1.7782131644599173,0.7778451408539663,19.174605333496658,0.0017833642155718728,0.04579886072454143,BasalorEpi-73
krt5,138.16528632025796,0.7387905867395943,0.43810902815769565,28.898916728029064,2.427069081205115e-5,0.002263561269418665,BasalorEpi-73
znf385a,16.90851148536315,2.1519621204350474,0.7386349158600264,24.763159853722428,1.547966008251323e-4,0.009631150466345042,BasalorEpi-73
pfn1,41.68264657840886,1.0695183476738046,0.48872867744190424,24.91561883966874,1.4465915357487886e-4,0.009493926671655013,BasalorEpi-73
ccng2,7.139991510974275,-1.152622464297831,0.9180081147204284,31.435560763735026,7.683483956915669e-6,0.0010936310901492202,BasalorEpi-73
prodha,9.943907424605369,-1.5653199077720679,0.9775144221436676,24.29614287556325,1.904304226625224e-4,0.010225536635090597,BasalorEpi-73
MDFI,8.134985422312118,2.7004516747549423,0.9435510270488081,37.695381736109084,4.3439764137929865e-7,1.1402393610699627e-4,BasalorEpi-73
slc20a1b,7.174186547865602,-2.4443551049570873,1.2206607880364944,19.802287697218915,0.0013611051075458516,0.03953898771428277,BasalorEpi-73
ucp3,10.119699935069919,-1.1415123884859595,0.8249418259821103,20.7335591638178,9.095177101544428e-4,0.030993565046032172,BasalorEpi-73
ucp2,15.045364777173827,-0.21514844839326816,0.6011045143137691,19.443337095794277,0.0015887903652010884,0.043798642935828046,BasalorEpi-73
mmp30,21.57959597757337,-1.4295428586060617,0.606252658025136,28.40356693196992,3.0348668697347936e-5,0.002560849568176216,BasalorEpi-73
ptgdsb.1,49.47841618001433,-1.3180845763042761,0.5052977976639059,27.74116004600792,4.0894065714334024e-5,0.003293831111172722,BasalorEpi-73
midn,21.266332429811108,0.574923613781295,0.7280194026643707,46.29353539683328,7.914335202982934e-9,7.012100989842879e-6,BasalorEpi-73
cpa5,9.763523382242113,-1.0207304407363038,0.75223710239366115,20.86476831778559,8.591216377931035e-4,0.029850265532732928,BasalorEpi-73
pkp3a,28.37084510442865,0.3859196759621283,0.617498886128371,24.399168126812427,1.8193023670217835e-4,0.010225536635090597,BasalorEpi-73
CR381618.1,31.385910292636883,1.8360754982215264,0.5715357924207798,24.722450051801474,1.5762040830925858e-4,0.009631150466345042,BasalorEpi-73
tnni2a.4,40.332250608357796,0.818182242746958,0.488787025356079,19.285434654665295,0.0017004353006926762,0.04431134342393268,BasalorEpi-73
mt-nd1,74.10828414387491,0.37950744448856105,0.4396054574582493,20.65031888638427,9.429872022360217e-4,0.031527798535136424,BasalorEpi-73
mt-nd2,44.33659122705259,0.5430638577438615,0.4221698676734851,23.89140056866016,2.2779746772759484e-4,0.011212697578147168,BasalorEpi-73
hsp90b1,17.342629065852247,2.7968886584879704,0.7698150382029907,24.038285672361525,2.134656075725568e-4,0.006801014257261659,BrancPorEp-120
tcp11l2,3.455360079258064,-1.6377267513281488,1.2335753167626298,20.66732983317572,9.360502304318955e-4,0.02024155679291416,BrancPorEp-120
si:dkeyp-82b4.2,22.500425640337976,-0.6252009332533375,0.6895047376094705,21.142243744276783,7.614319345696438e-4,0.017328015310992036,BrancPorEp-120
