gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
aff3,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
map3k19,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
pgap1,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
FP101883.1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
chaf1b,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
plcl1,3.214359385572678,4.761431069311008,1.4362458260782152,12.359269742556993,4.3880229281528213e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
ankrd50l,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
pofut2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
pcbp3,4.71393715355171,3.480011531639051,1.061479903273409,11.46028103860283,7.109954667329688e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
hdac4,12.15030485256984,2.2185697948270886,0.5934970164275324,14.7188159642468,1.247946544929246e-4,0.040209280453866326,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
spc25,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
stk39,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
mid1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
irx4a,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
celf3b,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
CR848788.1,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
atg5,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
dscc1,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
stk31,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rps27.2,9.549235573983847,-3.7239170481534196,1.5123986126304214,12.853717781601983,3.368094126103468e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
apoc1,6.041258809106678,-18.435533305027924,259.4406132815037,11.872942668701889,5.695535044842981e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
apoa2,17.069296024573482,-2.57764096915678,0.8917045051832777,10.78749048393253,0.0010218832431868208,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
prss1,32.53859444912076,-2.4928958929444875,0.7639134952756544,11.225174865041751,8.069517029340982e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
prss59.1,18.00900672805152,-3.098535261469424,0.9209420812805983,18.714623199152143,1.5181377724320628e-5,0.010536888232526805,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
prss59.2,43.458457002734306,-2.749033773393242,0.7118171080889538,15.623031857948227,7.730721442580858e-5,0.030582807069424407,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
mrpl17,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
alg2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
isg20l2,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
wu:fd46c06,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
