gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
f9b,16.792912785587895,-0.24869640481645772,0.720874605619899,0.11828028621763309,0.7309071941993931,NA,t4-120HF.t0-UF
mcf2b,1.5785188553898823,-0.4245733308876575,1.9116533427764815,0.04847903521293162,0.8257313208524855,NA,t4-120HF.t0-UF
CR545465.1,0,NA,NA,NA,NA,NA,t4-120HF.t0-UF
mcf2b.1,2.072447356251879,-1.6858734320174131,1.9397105073255383,0.7216288262360386,0.3956101438429236,NA,t4-120HF.t0-UF
arr3a,151.40197475398912,-3.0060173649899973,0.6298625822216292,18.267557761262132,1.919484826409201e-5,0.002006714958149072,t4-120HF.t0-UF
si:ch211-263p13.7,0.1441049260671609,14.484458889223491,198.9535254977995,0.675946569126519,0.41098601272394447,NA,t4-120HF.t0-UF
znrd2,19.250079132552823,-0.47153119882758565,0.6295979214304449,0.5562118777066516,0.45579057397932227,NA,t4-120HF.t0-UF
fam89b,2.340504252395655,-0.8907399665994525,1.507552256772503,0.34693720693810803,0.5558520445805651,NA,t4-120HF.t0-UF
ehbp1l1b,110.58867659688654,-0.10753105286327336,0.5372845520404365,0.039885034518597706,0.8417055313926036,0.9647293967045231,t4-120HF.t0-UF
CR545465.2,2.6160682690905683,-0.5377112586052416,1.5026405916629222,0.12638469660299378,0.7222103605497515,NA,t4-120HF.t0-UF
rab1bb,9.932736051146726,0.17455501420248204,0.8227284823859045,0.04629893887337744,0.8296333122606807,NA,t4-120HF.t0-UF
CR450793.1,0,NA,NA,NA,NA,NA,t4-120HF.t0-UF
frmd8,21.738294775314234,-0.2578421948148146,0.5800100382827691,0.19767408986371748,0.6566048402084307,NA,t4-120HF.t0-UF
vps51,16.158606002804003,0.10005535647944758,0.6566546915423764,0.023461997736379914,0.8782617725401504,NA,t4-120HF.t0-UF
tm7sf2,12.676697361119432,-0.3950393780907816,0.7576700750525872,0.26942410142346773,0.6037183517225713,NA,t4-120HF.t0-UF
znhit2,2.4977580592156,-1.4251360496754968,1.5198549834863038,0.8640315760442192,0.3526129375691138,NA,t4-120HF.t0-UF
MRPL49,1.9740456148789687,-1.0238529405130419,1.6854733038540881,0.3691908147114269,0.5434456741285025,NA,t4-120HF.t0-UF
faub,10.130092987541591,0.14771736970950106,0.7940114179028609,0.036002920310913566,0.8495094617517238,NA,t4-120HF.t0-UF
zgc:193742,7.408378883206799,-0.42438747595851556,0.9518457569238435,0.19812979966763322,0.65623467156463,NA,t4-120HF.t0-UF
si:dkey-88p24.11,7.184980059589732,0.29868859659093056,0.8819785916952212,0.11553579326563224,0.7339276454797258,NA,t4-120HF.t0-UF
uqcc3,16.615669091632455,-1.557542699610707,0.6749906693193135,5.142975346513637,0.02334061285818498,NA,t4-120HF.t0-UF
BX248510.6,1.5352099257909995,-1.3576520587172651,1.893914239319304,0.5092507810998406,0.4754633671828618,NA,t4-120HF.t0-UF
cnih2,6.825016432285603,-0.15217575359307492,1.0171946276005868,0.02225949548038031,0.8813988464630376,NA,t4-120HF.t0-UF
wdr74,7.933870800404546,-1.8153190856893342,0.9259819819105423,3.7819167065198442,0.05180928066558436,NA,t4-120HF.t0-UF
ehd1b,56.60142511099649,0.779527445321612,0.46366595465206795,2.8936417430295407,0.08892970008484206,0.43210761412797055,t4-120HF.t0-UF
cxadr,231.7400166975361,-0.008822089557031359,0.3460731299705372,6.496534969784307e-4,0.979665479764251,0.989992874582299,t4-120HF.t0-UF
auts2a,487.4813486090116,0.4644957465359951,0.3435678695316901,1.8573912823657537,0.1729261858363989,0.5836932160552593,t4-120HF.t0-UF
si:dkey-33o22.1,0.18040843865751996,14.7428616075377,198.2890063892364,0.7402860665756119,0.389569256204618,NA,t4-120HF.t0-UF
ints2,43.317754793584776,0.44351647646835757,0.48463735415369075,0.8483893244183776,0.3570083897234711,0.7610793709107347,t4-120HF.t0-UF
med13a,175.59705654819393,0.5182735756311669,0.35965131939524886,2.1110168108895806,0.14624211772934093,0.544634237615172,t4-120HF.t0-UF
rnft1,11.48933833333476,0.4368835539743127,0.7413385805199785,0.34915800277974895,0.554590151663654,NA,t4-120HF.t0-UF
rps6kb1a,71.5050807746248,0.30081492188768766,0.4971391336688331,0.37057238656798575,0.5426924336422164,0.8661653805905245,t4-120HF.t0-UF
ptrh2,2.364037673146219,0.027941352554668383,1.4856968935722934,9.593868535908712e-4,0.9752902981765068,NA,t4-120HF.t0-UF
cltca,281.18909592561255,0.8003965712261191,0.3660642065232096,4.894670550618322,0.02693971304424333,0.23328015251498616,t4-120HF.t0-UF
btg3,29.82699341614373,-0.41270027133988546,0.53538788921215,0.5875547608933545,0.4433662382857205,0.8161586422715233,t4-120HF.t0-UF
CR392341.4,0,NA,NA,NA,NA,NA,t4-120HF.t0-UF
si:ch211-222e20.4,6.40057772761026,1.220480425564831,0.9507699591890185,1.6818139131091634,0.19468360040744753,NA,t4-120HF.t0-UF
bbx,71.35837142657083,0.12092111210404073,0.4246857906771748,0.08136080471415852,0.7754616909840277,0.948589040001348,t4-120HF.t0-UF
cblb,282.60895489973745,-0.3797215281272393,0.35004217452505854,1.1555370973953742,0.28239303377850244,0.706838815129096,t4-120HF.t0-UF
alcama,327.96724392132217,-0.01520331135662012,0.33826251071286073,0.0020208601167013285,0.9641439922655612,0.9885841789362164,t4-120HF.t0-UF
si:ch211-103f14.3,8.93779957526336,-0.5137490056870022,0.8680838427871274,0.34829938232120483,0.5550773907146698,NA,t4-120HF.t0-UF
zpld1a,4.839122923104757,-0.08319975689898135,1.236447162707753,0.004934219145610541,0.9439994560698498,NA,t4-120HF.t0-UF
