gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
apoa1a,203.57396253333212,3.460679074179199,0.5169891136199379,43.539798654948164,4.154241490232672e-11,3.622506933227399e-8,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
zgc:175280,20.03391577069013,2.291047202358516,0.7129744965907815,10.690487493088149,0.0010768782505699663,0.03772624025073685,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
tmem86b,18.869923965130848,2.650638994620606,0.8233657523846626,10.235436261057998,0.0013776802488908702,0.04575046493191765,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
zgc:153968,46.966677912728876,2.0316035404839,0.6446180463100729,10.083024719719525,0.0014964148959977725,0.04784500169100033,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
si:ch211-198m17.1,84.26780551567629,2.764807725921481,0.6806447833124443,15.949684939111236,6.504860467398543e-5,0.006099263285313693,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
gcgra,66.1948631953167,-1.9789513305970583,0.570312373019136,10.706921808976212,0.001067354601533305,0.03772624025073685,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
txnrd3,18.122974395222826,2.427068160212408,0.7818588560473362,10.299386451044093,0.0013307444723720376,0.04465698292549533,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
p4hb,30.957547354972167,2.224488331011045,0.6424403296868133,12.611015843097384,3.834800401894747e-4,0.019102099501938207,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
CABZ01117503.1,19.00463626556583,21.473558249048736,182.38406648981854,46.42551458739209,9.516818349276923e-12,1.5169808448747416e-8,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
abhd3,26.57713833126712,4.472340095307146,0.8585234065830113,28.13222910616318,1.1330325280809252e-7,5.1601538564599855e-5,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ptprfb,81.87368944787244,2.158927619779811,0.5319580244204605,17.008499622300384,3.721286110949033e-5,0.003919234501281685,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
lpin2,25.116527009653048,-3.30201754696094,0.792743915068639,15.142374484635624,9.970017295251537e-5,0.008149850035195359,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
slc6a9,83.26261865525768,-5.2341549397044735,0.8777806053727647,25.181402760306405,5.218297966286611e-7,1.279687224347824e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
copa,15.528969056820358,2.6918993392540234,0.8458298406292034,10.813696677353427,0.001007519260888941,0.03701923486418073,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
zgc:85843,18.991616064019873,3.93349897338517,0.8622386623706815,21.58433421609914,3.3860628860410094e-6,5.802318068612628e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
epb41l3b,84.74742855683061,2.183208266289607,0.5317996224861713,17.40375939850803,3.0222761753342987e-5,0.003322419464470946,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
nt5c2b,32.280426208718985,2.241908746996221,0.6606503526361158,12.262031240221752,4.622680519022921e-4,0.021672213962713342,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
dbi,29.16910898849641,2.1231228443336554,0.6725036670228929,10.354953639225684,0.0012912770823680728,0.04379352487861081,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
lrrc58b,16.947583292428092,4.720209966888628,0.9880575515924632,26.147750821027916,3.162652819160706e-7,8.402114322903611e-5,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
