gene_id	mut_hf_R1	mut_hf_R2	mut_hf_R3	mut_nf_R1	mut_nf_R2	mut_nf_R3	wt_hf_R1	wt_hf_R2	wt_hf_R3	wt_nf_R1	wt_nf_R2	wt_nf_R3
ENSDARG00000105694	12	2	12	0	19	41	0	5	17	0	0	0
ENSDARG00000105696	1099.267	1262.609	1232.4	1427.288	574.226	849.856	755.741	1191.618	1146.324	729.116	610.749	881.617
ENSDARG00000105703	75.174	18.151	27.327	84.713	0	83.219	25.071	61.853	47.999	84	0	1.036
ENSDARG00000105704	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105705	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105706	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105707	1.246	25.526	26.996	60.961	27.747	17.088	0	8.421	10.988	0	0	0
ENSDARG00000105708	0	0	0	0	0	0	0	0	0	0	1.462	0
ENSDARG00000105711	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105712	0	29.416	3.797	1.355	0	0	0	13.81	44.459	3.406	23.587	35.209
ENSDARG00000105713	159	160.262	277.818	265.012	119	125	97.008	161.017	175.017	117.022	104.299	64.013
ENSDARG00000105714	254.665	159.426	125.868	80.006	116.66	0	144.505	285.834	281.857	192.448	332.942	362.933
ENSDARG00000105715	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105716	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105717	110.153	149.278	143.443	95.771	228.766	105.765	95.952	246.773	198.746	0	116.644	89.459
ENSDARG00000105718	0	0	0	0	0	0	0	0	0	0	0	7
ENSDARG00000105719	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105721	20	23.011	15	0	19	3.022	25.004	15.915	8	1	13	0
ENSDARG00000105722	37.716	102.26	40.134	69.63	24.39	28.299	34.884	132.16	80.376	14.48	9.331	18.806
ENSDARG00000105724	0	4	0	0	0	0	7	0	0	0	0	0
ENSDARG00000105727	7	0	8	19	0	0	0	8	0	0	14	15
ENSDARG00000105728	17.467	35.46	47.894	36.043	37.924	17.773	1.054	38.765	40.768	59	17.564	30.65
