Phase,BaselineProp,PropMean.t0_UF,PropMean.t1_15HF,PropMean.t2_30HF,PropMean.t3_60HF,PropMean.t4_120HF,PropMean.t5_240HF,Fstatistic,P.Value,FDR,cluster
G1,0.9934426229508196,0.9912280701754387,1.0000000000000002,0.9999999999999999,1.0000000000000004,0.9999999999999996,0.9807692307692303,2.040773610846046,0.06966057124071215,0.06966057124071215,FastMuscle_250
G2M,0.011574074074074073,0.026455026455026457,0.03333333333333334,-0,0.0238095238095238,-0,0,2.1474253857243126,0.05684841165268892,0.15883343574433684,PharyPouch_89
S,0.05324074074074074,0.02380952380952382,0.007751937984496126,0.046874999999999986,0.02564102564102565,0.11224489795918363,0.08012820512820508,1.8161364990302966,0.10588895716289123,0.15883343574433684,PharyPouch_89
G1,0.9351851851851852,0.9497354497354498,0.9589147286821708,0.9531249999999998,0.9505494505494508,0.8877551020408161,0.9198717948717943,0.6830410823944343,0.6362551502385623,0.6362551502385623,PharyPouch_89
S,0.009584664536741214,0.013333333333333345,-0,-0,0.04761904761904763,-0,0,0.5469459426298144,0.7408017726343481,0.8652380632166654,PharArchNC_84
G1,0.9840255591054313,0.9799999999999999,1.0000000000000002,0.9857142857142855,0.9523809523809523,0.9999999999999996,0.9999999999999996,0.4138744806880446,0.8394651874993538,0.8652380632166654,PharArchNC_84
G2M,0.006389776357827476,0.006666666666666669,-0,0.014285714285714284,1.5023145987371592e-18,-1.2266347333466992e-18,2.5404437131505382e-19,0.376372745808008,0.8652380632166654,0.8652380632166654,PharArchNC_84
S,0.013837638376383764,0.026578947368421053,0.009433962264150943,0.010252904989747095,0.02146750524109015,-0,0,2.8065106388163907,0.04682780465292624,0.14048341395877872,PhotRecPre_204
G1,0.9363468634686347,0.9051754385964913,0.9477219372228504,0.9412166780587833,0.9158954776879303,0.950520833333333,0.9726731601731597,2.1550047837885473,0.10352517942099373,0.15528776913149062,PhotRecPre_204
G2M,0.04981549815498155,0.06824561403508772,0.042844100512998876,0.04853041695146958,0.06263701707097934,0.04947916666666665,0.027326839826839814,1.3184085672028416,0.2990905754044401,0.2990905754044401,PhotRecPre_204
G2M,0.01820633850303439,0.02419731935558893,0.028282658782479,0.0050207039337474115,0.016721927497789568,0.022222222222222216,0.008174386920980915,3.7567454110943,0.0021087891125143427,0.006326367337543028,FastMuscle_255
S,0.009440323668240054,0.009314554434760673,0.005979730179658264,0.015062111801242234,0.011693191865605659,0.022222222222222216,0.004087193460490455,2.332981657082989,0.039679270762902466,0.0595189061443537,FastMuscle_255
G1,0.9723533378287256,0.9664881262096505,0.9657376110378628,0.97991718426501,0.9715848806366045,0.955555555555555,0.987738419618528,2.0399081054621786,0.06977479745485211,0.06977479745485211,FastMuscle_255
S,0.009664948453608248,0.011904761904761908,0.002164502164502165,0.011778862450003392,0.006693070522857758,0.027089783281733736,0.013913043478260861,0.6052958126240284,0.6959033643557342,0.9943435026814216,ConePhotGr_208
